gene,org,cluster
532,MIT9322,GC_00000446
532,"NATL2A",GC_00000475
532,PAC1,GC_00000508
532,MIT9515,GC_00000622
532,SB,GC_00000642
532,GP2,GC_00000704
532,MIT9215,GC_00000719
532,MIT9314,GC_00000831
532,MIT9123,GC_00000835
532,MIT9301,GC_00000902
532,MIT9107,GC_00001001
532,MED4,GC_00001048
532,MIT9202,GC_00001107
532,MIT9201,GC_00001148
532,MIT9302,GC_00001313
532,MIT9312,GC_00001367
532,MIT9321,GC_00001614
532,MIT9401,GC_00001626
532,SS51,GC_00002107
532,LG,GC_00002438
532,SS35,GC_00002584
532,MIT9303,GC_00003028
532,EQPAC1,GC_00003244
532,MIT9116,GC_00003331
532,"NATL1A",GC_00003726
532,MIT9313,GC_00006023
533,CCMP1375,GC_00000012
533,MIT9314,GC_00000020
533,MIT9201,GC_00000042
533,GP2,GC_00000047
533,MIT9301,GC_00000049
533,MIT9211,GC_00000095
533,"NATL2A",GC_00000196
533,MIT9401,GC_00000202
533,MIT9321,GC_00000286
533,MIT9302,GC_00000402
533,MIT9322,GC_00000432
533,SB,GC_00000453
533,PAC1,GC_00000530
533,MIT9123,GC_00000562
533,LG,GC_00000588
533,MIT9107,GC_00000609
533,MIT9202,GC_00000625
533,AS9601,GC_00000658
533,SS2,GC_00000670
533,MIT9311,GC_00000808
533,EQPAC1,GC_00000815
533,MIT9312,GC_00000902
533,"NATL1A",GC_00000913
533,MIT9215,GC_00001016
533,MED4,GC_00001106
533,MIT9515,GC_00001142
533,SS51,GC_00001711
533,SS35,GC_00002666
533,MIT9116,GC_00003316
533,MIT9313,GC_00004750
533,MIT9303,GC_00006487
534,MIT9312,GC_00000049
534,"NATL2A",GC_00000053
534,MIT9211,GC_00000135
534,MIT9301,GC_00000182
534,SB,GC_00000267
534,SS51,GC_00000285
534,MIT9123,GC_00000344
534,MIT9401,GC_00000352
534,"NATL1A",GC_00000363
534,SS2,GC_00000409
534,MIT9515,GC_00000413
534,MIT9302,GC_00000474
534,MIT9321,GC_00000484
534,MIT9202,GC_00000757
534,MIT9215,GC_00000764
534,EQPAC1,GC_00000804
534,MIT9311,GC_00000873
534,AS9601,GC_00001055
534,MIT9107,GC_00001119
534,MIT9201,GC_00001186
534,MIT9322,GC_00001318
534,MED4,GC_00001414
534,MIT9314,GC_00001683
534,CCMP1375,GC_00001856
534,SS35,GC_00002423
534,LG,GC_00002615
534,MIT9116,GC_00003221
534,PAC1,GC_00003543
534,MIT9303,GC_00004451
534,MIT9313,GC_00004592
534,GP2,GC_00005374
535,PAC1,GC_00000011
535,MIT9211,GC_00000012
535,SS51,GC_00000032
535,MIT9302,GC_00000061
535,SB,GC_00000074
535,MIT9301,GC_00000110
535,CCMP1375,GC_00000170
535,MIT9312,GC_00000182
535,MIT9123,GC_00000193
535,MIT9322,GC_00000215
535,MIT9515,GC_00000459
535,MED4,GC_00000502
535,MIT9107,GC_00000552
535,MIT9215,GC_00000738
535,MIT9201,GC_00000769
535,MIT9311,GC_00000784
535,MIT9314,GC_00000986
535,MIT9321,GC_00001125
535,MIT9202,GC_00001174
535,EQPAC1,GC_00001243
535,AS9601,GC_00001265
535,MIT9401,GC_00001289
535,SS2,GC_00002227
535,LG,GC_00002591
535,SS35,GC_00002729
535,GP2,GC_00002856
535,"NATL1A",GC_00003083
535,MIT9116,GC_00003189
535,"NATL2A",GC_00003866
535,MIT9303,GC_00004391
535,MIT9313,GC_00005678
536,MIT9123,GC_00000017
536,MIT9515,GC_00000089
536,MIT9312,GC_00000110
536,MIT9301,GC_00000114
536,MIT9215,GC_00000120
536,LG,GC_00000204
536,MED4,GC_00000227
536,MIT9401,GC_00000227
536,SB,GC_00000396
536,SS51,GC_00000412
536,CCMP1375,GC_00000433
536,MIT9107,GC_00000496
536,AS9601,GC_00000499
536,MIT9201,GC_00000534
536,MIT9321,GC_00000637
536,MIT9311,GC_00000786
536,MIT9322,GC_00000946
536,MIT9302,GC_00001068
536,MIT9202,GC_00001083
536,EQPAC1,GC_00001182
536,MIT9211,GC_00001856
536,MIT9314,GC_00001969
536,SS35,GC_00002005
536,GP2,GC_00002128
536,SS2,GC_00002306
536,"NATL2A",GC_00003013
536,MIT9116,GC_00003098
536,"NATL1A",GC_00003435
536,PAC1,GC_00004320
536,MIT9313,GC_00004627
536,MIT9303,GC_00006971
537,MIT9302,GC_00000003
537,MIT9314,GC_00000040
537,"NATL2A",GC_00000049
537,MIT9312,GC_00000114
537,MIT9211,GC_00000170
537,MIT9123,GC_00000236
537,MIT9301,GC_00000336
537,AS9601,GC_00000428
537,MIT9401,GC_00000502
537,MIT9202,GC_00000526
537,MIT9201,GC_00000591
537,MIT9107,GC_00000677
537,CCMP1375,GC_00000735
537,MIT9215,GC_00000746
537,MIT9303,GC_00000761
537,SB,GC_00000770
537,MIT9515,GC_00000865
537,"NATL1A",GC_00000884
537,MIT9311,GC_00001041
537,MIT9322,GC_00001150
537,MED4,GC_00001289
537,MIT9321,GC_00001523
537,PAC1,GC_00001969
537,SS35,GC_00002264
537,LG,GC_00002500
537,SS2,GC_00002732
537,SS51,GC_00002740
537,MIT9116,GC_00003113
537,EQPAC1,GC_00004166
537,MIT9313,GC_00004763
537,GP2,GC_00005439
538,"NATL2A",GC_00000182
538,MIT9515,GC_00000222
538,MIT9202,GC_00000226
538,SB,GC_00000240
538,MIT9301,GC_00000334
538,MIT9312,GC_00000336
538,MED4,GC_00000352
538,MIT9211,GC_00000433
538,MIT9321,GC_00000448
538,MIT9322,GC_00000483
538,MIT9215,GC_00000622
538,SS2,GC_00000680
538,MIT9302,GC_00000681
538,"NATL1A",GC_00000704
538,CCMP1375,GC_00000749
538,MIT9201,GC_00000809
538,SS35,GC_00000908
538,GP2,GC_00000984
538,MIT9311,GC_00001149
538,MIT9401,GC_00001414
538,MIT9123,GC_00001437
538,AS9601,GC_00001452
538,EQPAC1,GC_00001562
538,MIT9314,GC_00001625
538,MIT9107,GC_00001973
538,LG,GC_00002069
538,SS51,GC_00002554
538,MIT9116,GC_00003127
538,MIT9303,GC_00003955
538,PAC1,GC_00006651
538,MIT9313,GC_00007238
539,MIT9301,GC_00000024
539,"NATL1A",GC_00000047
539,"NATL2A",GC_00000110
539,MIT9202,GC_00000161
539,MIT9123,GC_00000173
539,MED4,GC_00000202
539,MIT9321,GC_00000248
539,MIT9312,GC_00000334
539,SS2,GC_00000404
539,CCMP1375,GC_00000503
539,MIT9322,GC_00000520
539,SB,GC_00000546
539,LG,GC_00000650
539,MIT9515,GC_00000724
539,MIT9211,GC_00000735
539,MIT9201,GC_00000997
539,AS9601,GC_00001048
539,MIT9401,GC_00001106
539,MIT9215,GC_00001142
539,MIT9107,GC_00001179
539,EQPAC1,GC_00001193
539,MIT9302,GC_00001470
539,MIT9314,GC_00001595
539,MIT9311,GC_00001617
539,SS51,GC_00002392
539,SS35,GC_00002531
539,MIT9116,GC_00003248
539,MIT9303,GC_00004959
539,PAC1,GC_00005430
539,MIT9313,GC_00006509
539,GP2,GC_00006857
540,MIT9312,GC_00000024
540,MIT9515,GC_00000076
540,MIT9107,GC_00000079
540,SS51,GC_00000086
540,"NATL2A",GC_00000114
540,MED4,GC_00000178
540,MIT9201,GC_00000189
540,SB,GC_00000211
540,MIT9202,GC_00000228
540,MIT9215,GC_00000413
540,"NATL1A",GC_00000488
540,MIT9123,GC_00000508
540,MIT9302,GC_00000671
540,MIT9211,GC_00000749
540,LG,GC_00000840
540,MIT9322,GC_00001047
540,MIT9401,GC_00001048
540,AS9601,GC_00001106
540,MIT9321,GC_00001239
540,MIT9301,GC_00001320
540,EQPAC1,GC_00001506
540,MIT9311,GC_00001559
540,MIT9313,GC_00001763
540,SS35,GC_00002001
540,MIT9314,GC_00002180
540,CCMP1375,GC_00002323
540,SS2,GC_00002521
540,MIT9116,GC_00003151
540,MIT9303,GC_00004992
540,GP2,GC_00006710
540,PAC1,GC_00007018
541,MIT9107,GC_00000142
541,SS51,GC_00000175
541,MIT9321,GC_00000302
541,SB,GC_00000308
541,"NATL2A",GC_00000336
541,MIT9202,GC_00000338
541,MIT9215,GC_00000459
541,MIT9211,GC_00000503
541,MIT9123,GC_00000530
541,"NATL1A",GC_00000626
541,LG,GC_00000630
541,MIT9201,GC_00000712
541,MIT9311,GC_00000987
541,MIT9322,GC_00001017
541,MIT9302,GC_00001033
541,EQPAC1,GC_00001176
541,MIT9515,GC_00001303
541,MIT9312,GC_00001320
541,MIT9301,GC_00001345
541,AS9601,GC_00001414
541,MIT9401,GC_00001452
541,MED4,GC_00001453
541,SS2,GC_00001712
541,MIT9314,GC_00001922
541,PAC1,GC_00001955
541,MIT9303,GC_00001995
541,CCMP1375,GC_00002338
541,SS35,GC_00002731
541,MIT9116,GC_00003236
541,MIT9313,GC_00006419
541,GP2,GC_00007222
542,EQPAC1,GC_00000005
542,MIT9215,GC_00000089
542,MIT9202,GC_00000117
542,MIT9201,GC_00000142
542,SS51,GC_00000169
542,CCMP1375,GC_00000216
542,"NATL2A",GC_00000334
542,MIT9401,GC_00000428
542,AS9601,GC_00000502
542,LG,GC_00000584
542,MIT9107,GC_00000712
542,"NATL1A",GC_00000743
542,SB,GC_00000767
542,SS2,GC_00000780
542,MIT9116,GC_00000857
542,MED4,GC_00000913
542,MIT9302,GC_00000935
542,MIT9314,GC_00000976
542,MIT9311,GC_00000996
542,MIT9301,GC_00001140
542,MIT9515,GC_00001159
542,MIT9321,GC_00001282
542,MIT9312,GC_00001345
542,MIT9123,GC_00001722
542,MIT9322,GC_00001981
542,MIT9211,GC_00002323
542,SS35,GC_00002847
542,MIT9313,GC_00004401
542,GP2,GC_00006261
542,PAC1,GC_00006949
542,MIT9303,GC_00007308
543,SS35,GC_00000013
543,MIT9201,GC_00000079
543,MIT9202,GC_00000141
543,MIT9107,GC_00000189
543,AS9601,GC_00000227
543,MIT9302,GC_00000360
543,SS51,GC_00000365
543,MIT9116,GC_00000431
543,"NATL1A",GC_00000475
543,MIT9401,GC_00000499
543,MIT9322,GC_00000530
543,MIT9123,GC_00000787
543,MIT9314,GC_00000830
543,MIT9215,GC_00000865
543,MIT9311,GC_00000998
543,MIT9321,GC_00001091
543,SB,GC_00001104
543,MIT9312,GC_00001140
543,EQPAC1,GC_00001185
543,MIT9515,GC_00001396
543,MIT9301,GC_00001678
543,LG,GC_00001890
543,CCMP1375,GC_00002082
543,SS2,GC_00002318
543,MIT9211,GC_00002338
543,"NATL2A",GC_00003056
543,MED4,GC_00003366
543,MIT9313,GC_00003789
543,MIT9303,GC_00004983
543,GP2,GC_00005537
543,PAC1,GC_00006851
544,SS51,GC_00000101
544,"NATL1A",GC_00000196
544,MIT9211,GC_00000216
544,MIT9215,GC_00000222
544,MED4,GC_00000363
544,SS35,GC_00000440
544,MIT9322,GC_00000508
544,MIT9301,GC_00000736
544,MIT9312,GC_00000736
544,MIT9321,GC_00000838
544,SB,GC_00000856
544,EQPAC1,GC_00000870
544,MIT9107,GC_00000997
544,MIT9401,GC_00001265
544,AS9601,GC_00001289
544,MIT9515,GC_00001373
544,MIT9202,GC_00001459
544,MIT9302,GC_00001529
544,MIT9311,GC_00001543
544,MIT9314,GC_00001575
544,MIT9123,GC_00001658
544,MIT9201,GC_00001709
544,CCMP1375,GC_00001753
544,LG,GC_00001779
544,SS2,GC_00002269
544,MIT9116,GC_00002927
544,"NATL2A",GC_00003719
544,MIT9313,GC_00003789
544,MIT9303,GC_00004438
544,GP2,GC_00006398
544,PAC1,GC_00006570
545,SS51,GC_00000048
545,"NATL1A",GC_00000053
545,MIT9322,GC_00000173
545,AS9601,GC_00000352
545,MIT9302,GC_00000436
545,CCMP1375,GC_00000478
545,MIT9301,GC_00000510
545,MIT9312,GC_00000510
545,MIT9313,GC_00000541
545,MIT9515,GC_00000542
545,MIT9215,GC_00000724
545,MIT9202,GC_00000776
545,MIT9321,GC_00000806
545,MIT9107,GC_00000809
545,MIT9311,GC_00000810
545,MIT9401,GC_00001055
545,SB,GC_00001109
545,MED4,GC_00001405
545,EQPAC1,GC_00001541
545,MIT9314,GC_00001667
545,SS35,GC_00001803
545,LG,GC_00001853
545,MIT9123,GC_00001919
545,SS2,GC_00002698
545,MIT9116,GC_00002917
545,"NATL2A",GC_00003689
545,MIT9211,GC_00003871
545,MIT9303,GC_00004778
545,GP2,GC_00006764
545,PAC1,GC_00006986
545,MIT9201,GC_00007360
546,SS35,GC_00000026
546,MIT9515,GC_00000030
546,MIT9215,GC_00000076
546,MIT9321,GC_00000087
546,AS9601,GC_00000202
546,MIT9302,GC_00000297
546,SS51,GC_00000306
546,MIT9107,GC_00000591
546,MIT9301,GC_00000596
546,MIT9312,GC_00000596
546,SB,GC_00000640
546,MIT9401,GC_00000658
546,CCMP1375,GC_00000745
546,MIT9211,GC_00000947
546,MIT9202,GC_00000956
546,EQPAC1,GC_00000988
546,MIT9311,GC_00001135
546,MED4,GC_00001297
546,MIT9322,GC_00001437
546,MIT9314,GC_00001723
546,MIT9313,GC_00001906
546,MIT9123,GC_00001965
546,LG,GC_00002468
546,SS2,GC_00002694
546,MIT9116,GC_00003243
546,"NATL2A",GC_00003563
546,"NATL1A",GC_00003866
546,PAC1,GC_00005330
546,GP2,GC_00006291
546,MIT9303,GC_00007054
546,MIT9201,GC_00007154
547,SS2,GC_00000002
547,SB,GC_00000060
547,MIT9401,GC_00000163
547,MIT9322,GC_00000236
547,MIT9301,GC_00000349
547,MIT9312,GC_00000349
547,MIT9515,GC_00000420
547,MIT9107,GC_00000534
547,LG,GC_00000594
547,SS51,GC_00000678
547,MIT9302,GC_00000706
547,"NATL2A",GC_00000736
547,MIT9314,GC_00000828
547,MED4,GC_00000884
547,EQPAC1,GC_00000895
547,MIT9202,GC_00001042
547,MIT9321,GC_00001204
547,MIT9215,GC_00001303
547,MIT9311,GC_00001312
547,AS9601,GC_00001626
547,CCMP1375,GC_00001727
547,MIT9211,GC_00001753
547,SS35,GC_00001802
547,MIT9303,GC_00001944
547,MIT9123,GC_00002108
547,"NATL1A",GC_00003013
547,MIT9201,GC_00003134
547,MIT9116,GC_00003238
547,MIT9313,GC_00004287
547,PAC1,GC_00006492
547,GP2,GC_00006776
548,MIT9322,GC_00000017
548,"NATL1A",GC_00000049
548,AS9601,GC_00000178
548,MIT9202,GC_00000269
548,SS35,GC_00000337
548,LG,GC_00000401
548,SB,GC_00000421
548,MIT9211,GC_00000478
548,MIT9401,GC_00000504
548,"NATL2A",GC_00000510
548,MIT9321,GC_00000523
548,MIT9515,GC_00000582
548,MED4,GC_00000704
548,CCMP1375,GC_00000737
548,MIT9107,GC_00000769
548,MIT9311,GC_00000843
548,EQPAC1,GC_00000891
548,MIT9301,GC_00000943
548,MIT9312,GC_00000943
548,MIT9215,GC_00001159
548,MIT9302,GC_00001314
548,MIT9314,GC_00001566
548,SS51,GC_00001901
548,MIT9123,GC_00002186
548,SS2,GC_00002659
548,MIT9116,GC_00003218
548,MIT9303,GC_00004471
548,MIT9313,GC_00004934
548,GP2,GC_00006077
548,PAC1,GC_00006574
548,MIT9201,GC_00007247
549,MIT9313,GC_00000002
549,CCMP1375,GC_00000022
549,MED4,GC_00000047
549,MIT9401,GC_00000106
549,MIT9515,GC_00000106
549,"NATL1A",GC_00000182
549,MIT9322,GC_00000193
549,SB,GC_00000257
549,"NATL2A",GC_00000349
549,MIT9301,GC_00000465
549,MIT9312,GC_00000465
549,SS35,GC_00000500
549,MIT9302,GC_00000511
549,MIT9311,GC_00000563
549,MIT9211,GC_00000745
549,MIT9201,GC_00001074
549,MIT9202,GC_00001084
549,MIT9107,GC_00001186
549,MIT9215,GC_00001396
549,MIT9321,GC_00001409
549,AS9601,GC_00001453
549,EQPAC1,GC_00001460
549,SS51,GC_00001899
549,LG,GC_00002140
549,SS2,GC_00002251
549,MIT9123,GC_00002911
549,MIT9116,GC_00003301
549,MIT9314,GC_00003905
549,PAC1,GC_00006129
549,GP2,GC_00006292
549,MIT9303,GC_00007117
550,MIT9107,GC_00000042
550,"NATL1A",GC_00000110
550,MIT9202,GC_00000133
550,MIT9301,GC_00000187
550,MIT9312,GC_00000187
550,CCMP1375,GC_00000268
550,SB,GC_00000275
550,MIT9322,GC_00000344
550,MED4,GC_00000488
550,MIT9515,GC_00000504
550,LG,GC_00000556
550,MIT9401,GC_00000582
550,"NATL2A",GC_00000596
550,MIT9302,GC_00000648
550,AS9601,GC_00000913
550,MIT9201,GC_00000979
550,MIT9311,GC_00001331
550,MIT9215,GC_00001373
550,MIT9321,GC_00001383
550,MIT9314,GC_00001720
550,MIT9211,GC_00001727
550,SS35,GC_00002330
550,SS51,GC_00002356
550,MIT9123,GC_00002362
550,SS2,GC_00002680
550,EQPAC1,GC_00002951
550,MIT9116,GC_00003129
550,GP2,GC_00004226
550,MIT9313,GC_00004296
550,MIT9303,GC_00004377
550,PAC1,GC_00005484
551,MIT9301,GC_00000012
551,MIT9312,GC_00000012
551,SB,GC_00000067
551,"NATL1A",GC_00000114
551,MIT9515,GC_00000163
551,MIT9302,GC_00000293
551,AS9601,GC_00000363
551,MIT9401,GC_00000420
551,MIT9215,GC_00000542
551,MIT9322,GC_00000562
551,MED4,GC_00000626
551,MIT9313,GC_00000654
551,MIT9202,GC_00000689
551,MIT9211,GC_00000737
551,MIT9123,GC_00000856
551,MIT9321,GC_00000934
551,"NATL2A",GC_00000943
551,MIT9107,GC_00001148
551,EQPAC1,GC_00001264
551,MIT9311,GC_00001429
551,MIT9201,GC_00001697
551,SS35,GC_00001756
551,CCMP1375,GC_00001780
551,SS51,GC_00002031
551,LG,GC_00002293
551,SS2,GC_00002632
551,GP2,GC_00002935
551,MIT9116,GC_00003201
551,MIT9314,GC_00003681
551,MIT9303,GC_00005345
551,PAC1,GC_00005489
552,MIT9211,GC_00000022
552,MIT9215,GC_00000030
552,MIT9401,GC_00000030
552,SS35,GC_00000104
552,MIT9301,GC_00000121
552,MIT9312,GC_00000121
552,SB,GC_00000229
552,LG,GC_00000322
552,"NATL1A",GC_00000336
552,MIT9311,GC_00000368
552,EQPAC1,GC_00000463
552,"NATL2A",GC_00000465
552,MIT9515,GC_00000658
552,MIT9107,GC_00000707
552,MED4,GC_00000743
552,MIT9202,GC_00000760
552,SS51,GC_00000763
552,MIT9302,GC_00000766
552,MIT9322,GC_00000835
552,MIT9321,GC_00001052
552,AS9601,GC_00001405
552,CCMP1375,GC_00002075
552,MIT9201,GC_00002109
552,MIT9123,GC_00002182
552,SS2,GC_00002672
552,MIT9116,GC_00003859
552,MIT9314,GC_00003916
552,MIT9313,GC_00005038
552,MIT9303,GC_00006813
552,GP2,GC_00006936
552,PAC1,GC_00007085
553,MIT9302,GC_00000035
553,MIT9401,GC_00000078
553,MIT9301,GC_00000123
553,MIT9312,GC_00000123
553,MIT9107,GC_00000137
553,"NATL2A",GC_00000187
553,SS35,GC_00000249
553,MIT9211,GC_00000268
553,"NATL1A",GC_00000334
553,MIT9202,GC_00000416
553,MIT9215,GC_00000420
553,MED4,GC_00000475
553,CCMP1375,GC_00000610
553,MIT9321,GC_00000620
553,MIT9313,GC_00000664
553,SS51,GC_00000721
553,LG,GC_00000729
553,MIT9201,GC_00000831
553,SB,GC_00000853
553,MIT9311,GC_00000875
553,EQPAC1,GC_00000922
553,MIT9515,GC_00001055
553,MIT9322,GC_00001248
553,AS9601,GC_00001297
553,MIT9314,GC_00001497
553,MIT9123,GC_00002198
553,PAC1,GC_00002283
553,SS2,GC_00002706
553,MIT9116,GC_00003183
553,MIT9303,GC_00004349
553,GP2,GC_00006728
554,"NATL2A",GC_00000012
554,MIT9202,GC_00000093
554,MIT9302,GC_00000184
554,MED4,GC_00000196
554,SB,GC_00000270
554,SS51,GC_00000355
554,MIT9301,GC_00000415
554,MIT9312,GC_00000415
554,MIT9215,GC_00000582
554,LG,GC_00000663
554,CCMP1375,GC_00000690
554,MIT9107,GC_00000740
554,MIT9401,GC_00000777
554,MIT9321,GC_00000871
554,AS9601,GC_00000884
554,EQPAC1,GC_00000929
554,MIT9314,GC_00001023
554,MIT9322,GC_00001127
554,MIT9311,GC_00001221
554,MIT9515,GC_00001265
554,MIT9211,GC_00001780
554,MIT9201,GC_00001912
554,MIT9123,GC_00002185
554,SS35,GC_00002389
554,SS2,GC_00002683
554,"NATL1A",GC_00003056
554,MIT9116,GC_00003215
554,PAC1,GC_00004320
554,MIT9303,GC_00005105
554,MIT9313,GC_00007077
554,GP2,GC_00007213
555,MIT9123,GC_00000017
555,MED4,GC_00000053
555,MIT9401,GC_00000068
555,MIT9311,GC_00000081
555,MIT9302,GC_00000082
555,MIT9215,GC_00000106
555,"NATL2A",GC_00000121
555,MIT9301,GC_00000206
555,MIT9312,GC_00000206
555,CCMP1375,GC_00000232
555,LG,GC_00000341
555,SS35,GC_00000400
555,MIT9515,GC_00000499
555,PAC1,GC_00000520
555,AS9601,GC_00000704
555,MIT9322,GC_00000890
555,EQPAC1,GC_00000920
555,MIT9202,GC_00001010
555,MIT9107,GC_00001030
555,SB,GC_00001479
555,MIT9321,GC_00001570
555,MIT9314,GC_00001655
555,MIT9201,GC_00001703
555,SS51,GC_00001956
555,MIT9303,GC_00002044
555,MIT9211,GC_00002075
555,MIT9313,GC_00002087
555,SS2,GC_00002595
555,GP2,GC_00002957
555,MIT9116,GC_00003220
555,"NATL1A",GC_00003719
556,AS9601,GC_00000047
556,MIT9301,GC_00000095
556,MIT9312,GC_00000095
556,"NATL2A",GC_00000123
556,SS35,GC_00000159
556,MIT9311,GC_00000168
556,MIT9107,GC_00000299
556,MIT9302,GC_00000399
556,SS51,GC_00000402
556,MIT9515,GC_00000428
556,CCMP1375,GC_00000450
556,PAC1,GC_00000483
556,MIT9215,GC_00000504
556,SB,GC_00000505
556,MIT9211,GC_00000610
556,LG,GC_00000703
556,MIT9401,GC_00000878
556,EQPAC1,GC_00000926
556,MIT9314,GC_00001028
556,MIT9202,GC_00001139
556,MED4,GC_00001156
556,MIT9201,GC_00001358
556,MIT9322,GC_00001577
556,MIT9321,GC_00001661
556,MIT9303,GC_00001825
556,MIT9123,GC_00002197
556,SS2,GC_00002721
556,MIT9116,GC_00003187
556,"NATL1A",GC_00003689
556,MIT9313,GC_00004636
556,GP2,GC_00005567
557,LG,GC_00000125
557,MIT9301,GC_00000135
557,MIT9312,GC_00000135
557,MIT9215,GC_00000163
557,"NATL2A",GC_00000415
557,SS51,GC_00000474
557,AS9601,GC_00000488
557,MIT9302,GC_00000669
557,CCMP1375,GC_00000684
557,MIT9211,GC_00000690
557,MIT9303,GC_00000739
557,MIT9322,GC_00000775
557,MIT9107,GC_00000845
557,EQPAC1,GC_00000919
557,MIT9321,GC_00000927
557,SB,GC_00001255
557,MIT9201,GC_00001263
557,MED4,GC_00001367
557,MIT9202,GC_00001403
557,MIT9311,GC_00001411
557,MIT9515,GC_00001452
557,MIT9401,GC_00001462
557,MIT9314,GC_00001660
557,PAC1,GC_00001860
557,MIT9123,GC_00002179
557,SS2,GC_00002404
557,SS35,GC_00002501
557,MIT9116,GC_00002882
557,"NATL1A",GC_00003563
557,MIT9313,GC_00005478
557,GP2,GC_00005524
558,MIT9401,GC_00000018
558,SS51,GC_00000061
558,SS35,GC_00000105
558,MIT9322,GC_00000111
558,"NATL2A",GC_00000206
558,MIT9202,GC_00000282
558,MIT9311,GC_00000313
558,MIT9211,GC_00000450
558,CCMP1375,GC_00000495
558,AS9601,GC_00000626
558,MIT9215,GC_00000658
558,"NATL1A",GC_00000736
558,MIT9303,GC_00000742
558,LG,GC_00000852
558,MED4,GC_00000902
558,EQPAC1,GC_00000923
558,PAC1,GC_00000946
558,MIT9515,GC_00001048
558,MIT9301,GC_00001130
558,MIT9312,GC_00001130
558,MIT9302,GC_00001464
558,MIT9201,GC_00001633
558,MIT9313,GC_00001953
558,MIT9321,GC_00002181
558,MIT9123,GC_00002189
558,MIT9107,GC_00002342
558,GP2,GC_00002363
558,SS2,GC_00002586
558,MIT9116,GC_00003263
558,MIT9314,GC_00005657
558,SB,GC_00006448
559,MED4,GC_00000049
559,"NATL2A",GC_00000095
559,PAC1,GC_00000215
559,MIT9311,GC_00000284
559,MIT9303,GC_00000376
559,MIT9302,GC_00000405
559,"NATL1A",GC_00000510
559,MIT9313,GC_00000585
559,MIT9322,GC_00000639
559,MIT9211,GC_00000684
559,AS9601,GC_00000743
559,MIT9202,GC_00000758
559,CCMP1375,GC_00000824
559,MIT9301,GC_00000937
559,MIT9312,GC_00000937
559,MIT9314,GC_00000982
559,MIT9215,GC_00001055
559,MIT9515,GC_00001106
559,MIT9401,GC_00001144
559,EQPAC1,GC_00001547
559,MIT9123,GC_00001652
559,MIT9201,GC_00001688
559,SS51,GC_00001690
559,SB,GC_00001993
559,LG,GC_00002301
559,SS2,GC_00002426
559,SS35,GC_00002757
559,MIT9116,GC_00002905
559,MIT9107,GC_00003165
559,MIT9321,GC_00003206
559,GP2,GC_00003293
560,MIT9314,GC_00000001
560,SS51,GC_00000003
560,SS35,GC_00000063
560,"NATL2A",GC_00000135
560,MIT9302,GC_00000152
560,MIT9301,GC_00000170
560,MIT9312,GC_00000170
560,MED4,GC_00000182
560,MIT9303,GC_00000244
560,MIT9116,GC_00000274
560,"NATL1A",GC_00000349
560,AS9601,GC_00000475
560,MIT9211,GC_00000495
560,MIT9401,GC_00000879
560,MIT9321,GC_00000901
560,MIT9202,GC_00001188
560,MIT9215,GC_00001265
560,MIT9322,GC_00001368
560,MIT9515,GC_00001414
560,MIT9311,GC_00001474
560,EQPAC1,GC_00001534
560,MIT9201,GC_00001692
560,LG,GC_00002006
560,MIT9123,GC_00002178
560,SS2,GC_00002457
560,CCMP1375,GC_00002780
560,MIT9107,GC_00003325
560,PAC1,GC_00003527
560,MIT9313,GC_00004897
560,SB,GC_00006985
560,GP2,GC_00007114
561,"NATL2A",GC_00000012
561,GP2,GC_00000033
561,MIT9401,GC_00000037
561,MED4,GC_00000110
561,AS9601,GC_00000196
561,MIT9116,GC_00000323
561,MIT9313,GC_00000375
561,MIT9303,GC_00000388
561,PAC1,GC_00000432
561,MIT9301,GC_00000433
561,MIT9312,GC_00000433
561,SS35,GC_00000438
561,MIT9215,GC_00000499
561,MIT9515,GC_00000502
561,"NATL1A",GC_00000596
561,SS51,GC_00000681
561,MIT9211,GC_00000824
561,MIT9302,GC_00000992
561,MIT9201,GC_00001025
561,MIT9123,GC_00001124
561,SB,GC_00001141
561,MIT9202,GC_00001152
561,MIT9322,GC_00001250
561,MIT9321,GC_00001444
561,MIT9311,GC_00001526
561,EQPAC1,GC_00001535
561,LG,GC_00001792
561,CCMP1375,GC_00001966
561,MIT9314,GC_00001977
561,SS2,GC_00002524
561,MIT9107,GC_00002826
562,MIT9314,GC_00000001
562,GP2,GC_00000044
562,AS9601,GC_00000053
562,MED4,GC_00000114
562,MIT9313,GC_00000148
562,MIT9515,GC_00000227
562,MIT9116,GC_00000291
562,SS35,GC_00000411
562,MIT9215,GC_00000428
562,PAC1,GC_00000446
562,MIT9321,GC_00000578
562,MIT9401,GC_00000623
562,MIT9301,GC_00000735
562,MIT9312,GC_00000735
562,MIT9302,GC_00000798
562,EQPAC1,GC_00000928
562,"NATL1A",GC_00000943
562,MIT9201,GC_00000962
562,SB,GC_00001021
562,MIT9202,GC_00001022
562,MIT9311,GC_00001272
562,MIT9322,GC_00001472
562,"NATL2A",GC_00001856
562,SS51,GC_00001858
562,CCMP1375,GC_00002081
562,MIT9123,GC_00002116
562,LG,GC_00002303
562,MIT9107,GC_00002364
562,SS2,GC_00002576
562,MIT9303,GC_00005007
562,MIT9211,GC_00007145
563,MIT9314,GC_00000001
563,MIT9313,GC_00000010
563,CCMP1375,GC_00000027
563,MIT9321,GC_00000100
563,"NATL2A",GC_00000170
