V1	Cluster ID	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Cluster Name	Types	Size	Organisms	Length	Identity
fig|1773.30303.peg.3839	UniRef90_A0A9E2YK63	95.652	46	2	0	11	56	187	232	1.04e-22	97.4	Cluster: Glycosyltransferase family 2 protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium sp	300	0.9
fig|1773.30303.peg.3840	UniRef90_R4M6R7	97.826	138	3	0	1	138	1	138	2.9e-88	268	Cluster: dTDP-rha:a-D-glcnac-diphosphoryl polyprenol, a-3-L-rhamnosyl transferase wbbL1	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis str. Haarlem/NITR202	260	0.9
fig|1773.30303.peg.3840	UniRef90_P9WMY2	97.826	138	3	0	1	138	1	138	7.84e-88	268	Cluster: N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	78	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis EAI5; Mycobacterium decipiens; Mycobacterium tuberculosis variant africanum K85; Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium tuberculosis variant africanum	307	0.9
fig|1773.30303.peg.3840	UniRef90_A0A7I7MRK0	89.13	138	14	1	1	138	1	137	6.16e-77	241	Cluster: N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium shinjukuense	309	0.9
fig|1773.30303.peg.3840	UniRef90_A0A7Z7N8M3	87.681	138	17	0	1	138	8	145	1.26e-76	240	Cluster: N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	UniProtKB Unreviewed (TrEMBL); UniParc	8	Mycobacterium simulans; Mycobacterium riyadhense; Mycobacterium szulgai	317	0.9
fig|1773.30303.peg.3840	UniRef90_A0A1X1Y274	87.681	138	14	1	1	138	1	135	3.11e-75	236	Cluster: N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium kubicae; Mycobacterium sp. 1423905.2	303	0.9
fig|1773.30303.peg.3841	UniRef90_P9WH08	75.099	253	51	5	1	246	57	304	1.86e-98	298	Cluster: dTDP-4-dehydrorhamnose reductase	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	68	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis EAI5; Mycobacterium canettii (strain CIPT 140010059); Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis variant africanum K85	304	0.9
fig|1773.30303.peg.3841	UniRef90_A0A7I9YJR0	57.977	257	92	5	1	246	49	300	2.15e-80	252	Cluster: dTDP-4-dehydrorhamnose reductase	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium bourgelatii; Mycobacterium intermedium	300	0.9
fig|1773.30303.peg.3841	UniRef90_A0A653EXU5	60.643	249	86	6	1	242	49	292	2.97e-79	251	Cluster: dTDP-4-dehydrorhamnose reductase	UniProtKB Unreviewed (TrEMBL); UniParc	6	Mycobacterium riyadhense	334	0.9
fig|1773.30303.peg.3841	UniRef90_A0A0I9UD84	61.868	257	81	8	1	246	57	307	3.14e-79	249	Cluster: dTDP-4-dehydrorhamnose reductase	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium haemophilum	307	0.9
fig|1773.30303.peg.3841	UniRef90_A0A5B1BQN0	61.569	255	84	5	1	246	54	303	9.68e-79	248	Cluster: dTDP-4-dehydrorhamnose reductase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium simiae (Mycobacterium habana)	303	0.9
fig|1773.30303.peg.3842	UniRef90_R4M272	100	46	0	0	1	46	28	73	4.33e-24	93.6	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL)	3	Mycobacterium tuberculosis str. Haarlem/NITR202; Mycobacterium tuberculosis	73	0.9
fig|1773.30303.peg.3842	UniRef90_UPI0022EBB81A	41.026	39	22	1	6	44	307	344	8.9	33.1	Cluster: glycosyltransferase	UniParc	1	Hyphomicrobium sp. DMF-1	421	0.9
fig|1773.30303.peg.3843	UniRef90_A0A654T6J0	85.507	138	20	0	1	138	1	138	3.24e-74	229	Cluster: Conserved protein of uncharacterized function, (CpsA-related protein)	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	171	0.9
fig|1773.30303.peg.3843	UniRef90_A0A2I7WC29	85.507	138	20	0	1	138	1	138	1.75e-69	227	Cluster: Biofilm regulatory protein A	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	497	0.9
fig|1773.30303.peg.3843	UniRef90_G0THZ8	84.783	138	21	0	1	138	2	139	7.46e-69	226	Cluster: LytR family transcriptional regulator	UniProtKB Unreviewed (TrEMBL); UniParc	84	Mycobacterium canettii (strain CIPT 140010059); Mycobacterium canettii; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis CPHL_A; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2)	498	0.9
fig|1773.30303.peg.3843	UniRef90_UPI000A6BE9CB	70.29	138	35	1	1	138	1	132	2.82e-59	191	Cluster: LCP family protein	UniParc	1	Mycobacterium sp. 1423905.2	168	0.9
fig|1773.30303.peg.3843	UniRef90_A0A7Z7II10	72.464	138	38	0	1	138	1	138	4.29e-58	197	Cluster: Biofilm regulatory protein A	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium simulans; Mycobacterium riyadhense	497	0.9
fig|1773.30303.peg.3844	UniRef90_A0A655JJZ4	91.912	136	11	0	1	136	63	198	1.86e-77	245	Cluster: Conserved protein of uncharacterized function, (CpsA-related protein)	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	305	0.9
fig|1773.30303.peg.3844	UniRef90_R4MA96	58.052	267	69	3	1	245	226	471	1.13e-75	250	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium tuberculosis str. Haarlem/NITR202; Escherichia coli	625	0.9
fig|1773.30303.peg.3844	UniRef90_G0THZ8	91.912	136	11	0	1	136	256	391	1.13e-75	246	Cluster: LytR family transcriptional regulator	UniProtKB Unreviewed (TrEMBL); UniParc	84	Mycobacterium canettii (strain CIPT 140010059); Mycobacterium canettii; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis CPHL_A; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2)	498	0.9
fig|1773.30303.peg.3844	UniRef90_A0A2I7WC29	91.176	136	12	0	1	136	255	390	6.86e-75	244	Cluster: Biofilm regulatory protein A	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	497	0.9
fig|1773.30303.peg.3844	UniRef90_A0A1X2M1Q4	85.294	136	20	0	1	136	258	393	2.88e-70	233	Cluster: LytR family transcriptional regulator	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium decipiens; Mycobacterium canettii	500	0.9
fig|1773.30303.peg.3845	UniRef90_UPI0022304275	96.078	51	2	0	1	51	9	59	3.46e-26	101	Cluster: TIGR03089 family protein	UniParc	1	Mycobacterium montefiorense	63	0.9
fig|1773.30303.peg.3845	UniRef90_UPI0023515232	96.078	51	2	0	1	51	1	51	1.45e-25	100	Cluster: TIGR03089 family protein	UniParc	1	Mycobacterium tuberculosis	89	0.9
fig|1773.30303.peg.3845	UniRef90_P96873	100	51	0	0	1	51	15	65	1.78e-25	104	Cluster: TIGR03089 family protein	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	92	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium tuberculosis EAI5; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis variant africanum K85	243	0.9
fig|1773.30303.peg.3845	UniRef90_A0A1A2SQG1	98.039	51	1	0	1	51	1	51	3.11e-25	103	Cluster: TIGR03089 family protein	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium mantenii	228	0.9
fig|1773.30303.peg.3845	UniRef90_A0A9E3EYX4	92.308	52	4	0	1	52	15	66	4.84e-25	98.6	Cluster: TIGR03089 family protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium sp	74	0.9
fig|1773.30303.peg.3846	UniRef90_A0A654T3K5	98.969	97	1	0	1	97	1	97	7.66e-60	189	Cluster: TIGR03089 family protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	119	0.9
fig|1773.30303.peg.3846	UniRef90_A0A654TF33	97.938	97	2	0	1	97	27	123	4.0700000000000004e-59	188	Cluster: TIGR03089 family protein	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	145	0.9
fig|1773.30303.peg.3846	UniRef90_A0A655I3V3	97.938	97	2	0	1	97	47	143	2.34e-58	187	Cluster: TIGR03089 family protein	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium tuberculosis	165	0.9
fig|1773.30303.peg.3846	UniRef90_P96873	97.938	97	2	0	1	97	125	221	2.95e-57	187	Cluster: TIGR03089 family protein	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	92	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium tuberculosis EAI5; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis variant africanum K85	243	0.9
fig|1773.30303.peg.3846	UniRef90_A0A1X2M108	89.691	97	10	0	1	97	115	211	9.45e-51	170	Cluster: TIGR03089 family protein	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium decipiens	233	0.9
fig|1773.30303.peg.3847	UniRef90_X7ZK57	74.265	136	35	0	1	136	22	157	4.05e-57	184	Cluster: Putative metal cation-transporting P-type ATPase C ctpC	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium xenopi 3993	158	0.9
fig|1773.30303.peg.3847	UniRef90_X8AY97	71.324	136	39	0	1	136	43	178	1.05e-53	176	Cluster: Putative metal cation transporting P-type ATPase ctpG	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium avium subsp. avium 2285 (R)	179	0.9
fig|1773.30303.peg.3847	UniRef90_P0A503	91.919	99	8	0	1	99	40	138	5.37e-51	182	Cluster: Manganese-exporting P-type ATPase	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	141	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	718	0.9
fig|1773.30303.peg.3847	UniRef90_A0A655JCM1	91.919	99	8	0	1	99	40	138	1.1e-50	180	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL); UniParc	11	Mycobacterium tuberculosis; Mycobacterium canettii; Mycobacterium canettii (strain CIPT 140010059)	628	0.9
fig|1773.30303.peg.3847	UniRef90_A0A654T407	91.919	99	8	0	1	99	40	138	4.87e-50	179	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium tuberculosis; Mycobacterium kansasii	675	0.9
fig|1773.30303.peg.3848	UniRef90_X8A8D8	80.952	42	8	0	1	42	97	138	1.05e-13	71.2	Cluster: E1-E2 ATPase family protein	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium intracellulare; Mycobacterium xenopi 4042	166	0.9
fig|1773.30303.peg.3848	UniRef90_A0A2S8BDT0	84.211	38	6	0	1	38	16	53	9.63e-12	65.1	Cluster: Putative manganese/zinc-exporting P-type ATPase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium talmoniae	128	0.9
fig|1773.30303.peg.3848	UniRef90_X7ZLE4	84.211	38	6	0	1	38	61	98	1.11e-11	66.2	Cluster: E1-E2 ATPase family protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium xenopi 3993	181	0.9
fig|1773.30303.peg.3848	UniRef90_A0A2X1TJ68	84.211	38	6	0	1	38	235	272	4.02e-11	67	Cluster: Metal cation-transporting p-type ATPase C	UniProtKB Unreviewed (TrEMBL); UniParc	6	Mycobacterium xenopi; Mycobacterium heckeshornense; Mycobacterium xenopi 3993; Mycobacterium noviomagense; Mycobacterium xenopi RIVM700367	716	0.9
fig|1773.30303.peg.3848	UniRef90_X7YI03	84.211	38	6	0	1	38	235	272	4.05e-11	66.6	Cluster: E1-E2 ATPase family protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium xenopi 4042	355	0.9
fig|1773.30303.peg.3849	UniRef90_A0A654Z8Y1	88.028	142	16	1	1	142	163	303	9.1e-77	247	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium tuberculosis	554	0.9
fig|1773.30303.peg.3849	UniRef90_UPI000695FA4A	88.028	142	16	1	1	142	228	368	1.33e-76	245	Cluster: manganese-exporting P-type ATPase CtpC	UniParc	1	Mycobacterium tuberculosis	498	0.9
fig|1773.30303.peg.3849	UniRef90_A0A655JCM1	88.028	142	16	1	1	142	327	467	3.17e-75	244	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL); UniParc	11	Mycobacterium tuberculosis; Mycobacterium canettii; Mycobacterium canettii (strain CIPT 140010059)	628	0.9
fig|1773.30303.peg.3849	UniRef90_P0A503	88.028	142	16	1	1	142	327	467	4.05e-75	246	Cluster: Manganese-exporting P-type ATPase	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	141	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	718	0.9
fig|1773.30303.peg.3849	UniRef90_X8BKB0	79.195	149	30	1	1	149	192	339	9.03e-75	237	Cluster: HAD ATPase, P-type, IC family protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium xenopi 3993	397	0.9
fig|1773.30303.peg.3850	UniRef90_A0A916PAW9	93.548	124	8	0	1	124	176	299	3.52e-70	224	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium tuberculosis; Mycobacterium kansasii	372	0.9
fig|1773.30303.peg.3850	UniRef90_A0A654Z8Y1	93.548	124	8	0	1	124	358	481	1.28e-68	225	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium tuberculosis	554	0.9
fig|1773.30303.peg.3850	UniRef90_P0A503	93.548	124	8	0	1	124	522	645	2.12e-67	226	Cluster: Manganese-exporting P-type ATPase	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	141	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	718	0.9
fig|1773.30303.peg.3850	UniRef90_UPI0022A735F3	87.097	124	16	0	1	124	210	333	1.97e-64	211	Cluster: cation-translocating P-type ATPase	UniParc	1	Mycobacterium interjectum	405	0.9
fig|1773.30303.peg.3850	UniRef90_X8B641	87.097	124	16	0	1	124	341	464	4.2e-63	211	Cluster: Copper-translocating P-type ATPase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium avium subsp. avium 2285 (R)	536	0.9
fig|1773.30303.peg.3851	UniRef90_X8FL90	100	36	0	0	1	36	22	57	8.36e-15	70.5	Cluster: Putative cation-transporting P-type ATPase C domain protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium ulcerans str. Harvey	77	0.9
fig|1773.30303.peg.3851	UniRef90_X8BDU9	94.595	37	2	0	1	37	116	152	2.71e-13	69.7	Cluster: HAD ATPase, P-type, IC family protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium xenopi 4042	206	0.9
fig|1773.30303.peg.3851	UniRef90_A0A916PAW9	97.297	37	1	0	1	37	316	352	2.88e-13	71.2	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium tuberculosis; Mycobacterium kansasii	372	0.9
fig|1773.30303.peg.3851	UniRef90_A0A654Z8Y1	100	36	0	0	1	36	498	533	2.91e-13	71.6	Cluster: Metal cation-transporting P-type ATPase C CtpC	UniProtKB Unreviewed (TrEMBL)	2	Mycobacterium tuberculosis	554	0.9
fig|1773.30303.peg.3851	UniRef90_X7YJI2	89.189	37	4	0	1	37	77	113	3.13e-13	68.2	Cluster: HAD ATPase, P-type, IC family protein	UniProtKB Unreviewed (TrEMBL)	3	Mycobacterium xenopi 4042; Actinomycetia bacterium; Mycobacterium kubicae	132	0.9
fig|1773.30303.peg.3852	UniRef90_A0A045JTR4	99.55	222	1	0	1	222	1	222	1.29e-150	426	Cluster: Integral membrane protein	UniProtKB Unreviewed (TrEMBL); UniParc	18	Mycobacterium tuberculosis; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis variant africanum K85; Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium orygis 112400015	222	0.9
fig|1773.30303.peg.3852	UniRef90_A0A0H3LE86	99.029	206	2	0	17	222	1	206	9.98e-137	390	Cluster: Integral membrane protein	UniProtKB Unreviewed (TrEMBL); UniParc	34	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis; Mycobacterium canettii	206	0.9
fig|1773.30303.peg.3852	UniRef90_A0A1X2M0C3	88.288	222	26	0	1	222	1	222	7.52e-131	376	Cluster: Cation transporter	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium decipiens	222	0.9
fig|1773.30303.peg.3852	UniRef90_A0A5B1BNR2	74.89	227	51	2	1	222	1	226	3.63e-110	324	Cluster: Cation transporter	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium simiae (Mycobacterium habana)	226	0.9
fig|1773.30303.peg.3852	UniRef90_A0A7I7NEW8	79.327	208	43	0	15	222	49	256	1.96e-109	323	Cluster: Membrane protein	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium lacus	256	0.9
fig|1773.30303.peg.3853	UniRef90_UPI00202A3F24	100	113	0	0	1	113	1	113	1e-74	227	Cluster: CoA transferase	UniParc	1	Mycobacterium tuberculosis	140	0.9
fig|1773.30303.peg.3853	UniRef90_R4MIH2	99.123	114	1	0	1	114	1	114	4.66e-74	226	Cluster: CoA transferase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis CAS/NITR204	154	0.9
fig|1773.30303.peg.3853	UniRef90_A0A654TGK2	100	113	0	0	1	113	118	230	1.26e-73	229	Cluster: Acyl-CoA transferase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	285	0.9
fig|1773.30303.peg.3853	UniRef90_P96877	100	113	0	0	1	113	1	113	1.22e-71	228	Cluster: Probable fatty acyl-CoA transferase Rv3272	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	106	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium orygis 112400015; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis T46	394	0.9
fig|1773.30303.peg.3853	UniRef90_A0A1X2M0L5	92.92	113	8	0	1	113	1	113	3.28e-67	216	Cluster: CoA transferase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium decipiens	395	0.9
fig|1773.30303.peg.3854	UniRef90_P96877	99.639	277	1	0	1	277	118	394	0	569	Cluster: Probable fatty acyl-CoA transferase Rv3272	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	106	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium orygis 112400015; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis T46	394	0.9
fig|1773.30303.peg.3854	UniRef90_A0A0U0R8C7	99.19	247	2	0	31	277	1	247	2.88e-180	504	Cluster: Acyl-CoA transferase	UniProtKB Unreviewed (TrEMBL)	3	Mycobacterium tuberculosis	247	0.9
fig|1773.30303.peg.3854	UniRef90_A0A7Z7IHS4	85.921	277	39	0	1	277	121	397	4.16e-170	485	Cluster: Acetyl-CoA:oxalate CoA-transferase	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium simulans; Mycobacterium riyadhense	397	0.9
fig|1773.30303.peg.3854	UniRef90_A0A1X2M0L5	85.971	278	38	1	1	277	118	395	2.94e-167	478	Cluster: CoA transferase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium decipiens	395	0.9
fig|1773.30303.peg.3854	UniRef90_UPI0009F59FD5	80.144	277	55	0	1	277	121	397	2e-157	453	Cluster: CoA transferase	UniParc	2	Mycobacterium malmoense	398	0.9
fig|1773.30303.peg.3855	UniRef90_A0A0T9VAG7	99.735	756	2	0	1	756	1	756	0	1494	Cluster: carbonic anhydrase	UniProtKB Unreviewed (TrEMBL); UniParc	133	Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis EAI5; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis variant africanum K85; Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	756	0.9
fig|1773.30303.peg.3855	UniRef90_A0A7I7MS06	85.383	732	105	1	20	749	1	732	0	1234	Cluster: carbonic anhydrase	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium shinjukuense	747	0.9
fig|1773.30303.peg.3855	UniRef90_A0A1X2M0E1	83.644	752	116	3	1	749	1	748	0	1225	Cluster: carbonic anhydrase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium decipiens	748	0.9
fig|1773.30303.peg.3855	UniRef90_A0A1X1Y654	87.33	734	90	2	13	744	11	743	0	1221	Cluster: carbonic anhydrase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium lacus	747	0.9
fig|1773.30303.peg.3855	UniRef90_A0A1X1UZB2	81.114	736	137	1	13	746	11	746	0	1194	Cluster: carbonic anhydrase	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium fragae	749	0.9
fig|1773.30303.peg.3856	UniRef90_P46703	92.031	389	31	0	1	389	1	389	0	744	Cluster: Probable acyl-CoA dehydrogenase fadE25	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	89	Mycobacterium leprae (strain TN); Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium leprae (strain Br4923); Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	389	0.9
fig|1773.30303.peg.3856	UniRef90_E7FH79	91.003	389	35	0	1	389	5	393	0	730	Cluster: Acyl-CoA dehydrogenase	UniProtKB Unreviewed (TrEMBL)	3	Mycolicibacterium thermoresistibile (Mycobacterium thermoresistibile); Mycolicibacterium thermoresistibile (strain ATCC 19527 / DSM 44167 / CIP105390 / JCM 6362 / NCTC 10409 / 316)	393	0.9
fig|1773.30303.peg.3856	UniRef90_UPI00035F0E21	89.203	389	42	0	1	389	1	389	0	723	Cluster: acyl-CoA dehydrogenase	UniParc	2	Mycobacterium sp. 141; Mycobacterium sp. 155	389	0.9
